Dates,Emerging Market Stocks,Foreign Developed Stocks,US Stocks - Growth (Large Cap),US Stocks - Growth (Small Cap),US Stocks - Value (Large Cap),US Stocks - Momentum,US Stocks - Size (Large Cap),US Stocks - Size (Small Cap),US Government Bonds - Long Term,US Government Bonds - Short Term,Municipal Bonds,TIPS,US Corporate Bonds - High Yield,US Corporate Bonds - Investment Grade,Emerging Market Bonds - USD,Global Aggregate Bonds ex-US,Gold
17/02/2004,0.008389726,0.009748634,0.010312006,0.021273163,0.010606331,0.011869596,0.009760127,0.017573506,0,-4.10E-06,0.000487105,-0.004890331,0.001222614,-0.002920533,-0.001848143,0.001551021,0.006794238
18/02/2004,-0.000245444,-0.000909182,-0.006395589,-0.009084695,-0.004816992,-0.002223626,-0.004329453,-0.00732947,-0.00023216,-4.10E-06,0.000640545,0.000192494,-0.002012022,-0.002308191,-0.001642335,-0.000121316,-6.83E-06
19/02/2004,-0.008474091,-0.001703002,-0.004702716,-0.016121318,-0.004496292,-0.00643403,-0.004087721,-0.017652949,0.000696642,-4.10E-06,0.000259919,0.000384913,0.000467314,0.003559075,-0.004258909,-0.002693453,-0.011345793
20/02/2004,-0.006121173,-0.014084475,0.003149957,-0.004015749,-0.003647491,-0.005323237,-0.002561593,-0.001727107,-0.003363611,-0.000103939,-0.000794649,-0.002792434,-0.000272499,-0.004876045,-0.002867182,3.51E-05,-0.011109808
21/02/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
22/02/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
23/02/2004,-0.003427524,0.002801776,-0.004883776,-0.020322394,-0.002439985,-0.008875184,-0.002698416,-0.015058552,0.003258545,0.000195602,0.000432947,0.00318706,-0.000537752,0.002761991,0.004204635,-9.92E-05,-0.014195603
24/02/2004,-0.006191457,-0.003466207,-0.000523586,0,-0.00401922,-0.002130397,-0.001663296,-8.76E-05,0.001739446,-4.10E-06,0.001279284,0.002117316,-0.004431172,0.000976937,0.002558337,0.003170885,0.006876774
25/02/2004,0.001239754,-0.005258689,0.002451665,0.014158707,0.007720047,0.009683331,0.004148189,0.014058852,0.001158382,9.57E-05,0.001247026,0.002593557,0.002336832,0.000710285,-0.001284,-0.000415517,-0.004978863
26/02/2004,0.002936917,-0.004847456,-0.004194567,0.00746772,0.000348144,0.005927499,0.001372485,0.006065798,-0.001504154,-4.10E-06,-0.000614011,0.001821225,-0.000516748,0.000708904,0.000115267,0.000386086,-0.0174959
27/02/2004,0.010677883,0.006259663,0.001931191,0.00306086,0.002611038,0.003951266,3.86E-05,0.005167417,0.00393872,-4.10E-06,0.001117747,0.005738419,0.000358511,0.002925551,0.001479243,0.002407806,0.00660474
28/02/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
29/02/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
01/03/2004,0.015367869,0.014297597,0.007709874,0.013173516,0.011629272,0.013106004,0.009666185,0.015852955,0.001051385,9.57E-05,0.000407568,0.005800661,0.000517576,-0.000310823,0.002220867,-0.000920533,0.010476939
02/03/2004,0.006627393,-0.005636995,-0.004518458,-0.002061735,-0.003260554,-0.007608726,-0.005921386,-0.007928875,-0.005779971,-0.000103909,-0.001864891,-0.003214602,0.000733179,-0.001952852,-0.002989848,-0.00072131,-0.010631831
03/03/2004,-0.011536644,-0.012556955,-0.001225243,-0.004606438,0.002065493,-0.000628519,0.001954728,0.001020214,-0.00093008,-4.10E-06,-0.001524201,-0.000758872,0.000218666,-0.000444539,0.002505635,-0.002793947,-0.013272781
04/03/2004,0.006504167,0.006229269,0.003847521,0.017396724,0.002920938,0.006701443,0.003357297,0.012656728,0.003142229,9.57E-05,0.000509604,0.000284438,9.66E-05,0.001601228,0.003048376,0.001884089,0.003834399
05/03/2004,0.006190322,0.014115845,0.000694343,-0.002038498,0.005139785,0.004352074,0.00173324,0.002263646,0.012411536,9.57E-05,0.00769495,0.00948993,0.001619884,0.010657499,0.008919498,0.005481324,0.018488067
06/03/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
07/03/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
08/03/2004,-0.003537469,0.002056042,-0.013752333,-0.014306484,-0.009714976,-0.01218543,-0.008280613,-0.014143359,0.005614214,0.000195502,0.002247238,0.003383958,0.002169621,0.002811627,0.006406788,0.003874431,0.001495987
09/03/2004,-0.001759778,-0.006906026,-0.00335587,-0.008133138,-0.004129564,-0.008474126,-0.005757075,-0.008488643,0.0037598,-4.10E-06,0.001593917,0.00318539,0.000975171,0.002015487,0.002448567,0.000868299,0.004119717
10/03/2004,-0.017610767,-0.015407272,-0.013814573,-0.024763287,-0.020217684,-0.016536303,-0.014536147,-0.020975823,-0.000113235,-4.10E-06,0.00011289,-0.003175275,-0.000782078,0.003235335,-0.002996479,-0.001545362,-0.003120156
11/03/2004,-0.012658892,-0.018611767,-0.016169786,-0.010716709,-0.013579361,-0.013609578,-0.01493586,-0.010057241,0.000113248,-4.10E-06,-0.000281602,-0.002529409,0.000336597,-0.0042707,-0.002430098,0.001555879,-0.00450402
12/03/2004,-0.006046202,-0.004642978,0.01369265,0.031333227,0.015554014,0.016562585,0.01246453,0.026944463,-0.003065187,-4.10E-06,-1.81E-05,-0.001596734,0.0003168,-0.001138166,0.000370391,-8.33E-05,-0.001136207
13/03/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
14/03/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
15/03/2004,-0.005057088,-0.007247617,-0.014404858,-0.027150125,-0.012499256,-0.018444856,-0.014327413,-0.02580716,0.000570164,9.57E-05,7.48E-05,0.002351948,-0.000583757,0.001139463,0.00130191,0.001025745,0.000244426
16/03/2004,0.001047315,0.013392037,0.005294165,-0.003986595,0.006953091,0.005949501,0.005637329,0.000441748,0.004892523,9.57E-05,0.000116519,0.005630307,-0.002355204,0.004551803,0.001613764,-0.002497311,0.011045669
17/03/2004,0.01104928,0.007701015,0.008547752,0.0193465,0.012747975,0.017981497,0.011836093,0.018534677,-0.000678912,-4.10E-06,0.000170002,0.004107266,0.013563636,0.000523191,0.00246308,0.002344278,0.000614287
18/03/2004,0.010561881,0.004718115,-0.005228833,-0.005235448,0.001398419,-0.003779288,-0.001260624,-0.006065798,-0.003173018,9.57E-05,-0.001609126,-0.001673879,-0.000884907,-0.004180768,-0.000394623,0.000468365,0.019856608
19/03/2004,0.004456652,-0.000954444,-0.010693141,-0.012336188,-0.010126116,-0.012928192,-0.011173331,-0.008718061,-0.001364194,-0.000103849,-0.001682039,-0.005306248,-0.001967123,-0.001574478,0.002990563,0.000156438,0.003036383
